SEQN,RIAGENDR,RIDAGEYR,RIDRETH3,WTINT2YR,WTMEC2YR,SDMVPSU,SDMVSTRA,INDFMPIR
97958,2,24,4,52301.94102,56533.58427,2,145,0.68
97959,1,80,3,10016.46515,13081.10722,1,140,1.6
97960,2,27,6,20445.37775,20355.15151,2,138,4.81
97961,1,14,3,73283.42778,0,2,135,5
97962,1,0,7,13695.94228,14921.51345,1,137,5
97963,1,29,3,53027.03021,59165.98734,1,135,1.79
97964,1,74,4,11253.2001,11431.2281,1,145,1
97965,1,32,6,35442.52994,35006.4358,1,136,2.66
97966,2,54,3,20226.30922,20953.09195,2,136,0.91
97967,2,40,1,32537.52006,34981.57237,2,136,4.93
97968,2,1,3,15395.39023,0,2,135,5
97969,2,62,1,6158.691547,6388.436303,2,135,NA
97970,2,61,4,11829.46324,11806.76391,2,145,0.85
97971,1,71,3,64915.66431,70528.60308,1,135,NA
97972,2,30,4,34284.88665,33367.89474,1,136,0.29
97973,1,64,1,10331.30205,10885.64324,1,148,1.35
97974,2,44,6,7450.233459,7337.110145,1,144,1.97
97975,1,4,3,24735.36749,25822.94552,2,141,1.05
97976,1,62,2,6660.501215,7238.981602,1,144,0.25
97977,1,40,4,12636.30532,12855.30732,1,139,3.34
97978,2,41,4,21278.31034,27290.27171,1,138,5
97979,1,14,3,28376.89491,29021.29241,1,148,1.96
97980,1,78,1,8536.37929,9428.514478,2,144,3.29
97981,1,5,3,25828.86753,26301.38042,1,142,1.82
97982,2,52,3,163562.6786,176069.8042,2,137,NA
97983,1,61,2,11562.45795,11905.68554,2,136,4.93
97984,1,9,6,5709.901828,5852.850273,2,141,4.76
97985,2,80,4,20879.24862,20563.11747,2,146,1.15
97986,2,29,4,22822.58704,24354.11534,2,146,2.89
97987,2,58,3,152673.9964,168066.6413,2,143,5
97988,1,14,6,10247.04831,10456.58565,2,138,0.58
97989,2,16,3,33963.90754,34113.56292,2,142,2.21
97990,2,10,3,17242.69014,0,1,142,1.47
97991,1,18,6,11880.14181,12056.3504,1,136,0
97992,1,6,6,23109.38946,24629.13852,1,136,3.92
97993,2,16,3,29941.36781,30388.05753,2,146,1.8
97994,1,0,7,8086.679729,8063.605805,2,140,2.36
97995,1,47,1,25471.07323,25513.19472,2,144,2.39
97996,2,75,6,10985.0295,11748.69672,1,144,NA
97997,2,70,3,63532.92082,73397.69494,2,142,NA
97998,2,4,1,19883.8389,21149.17207,2,141,1.59
97999,2,80,4,27818.82544,29760.02885,2,148,2.36
98000,2,7,3,20224.28032,25610.9083,1,145,1.3
98001,1,16,1,17613.38367,18248.67867,2,136,0.01
98002,1,16,4,17790.20562,18583.26543,2,142,2.37
98003,2,8,3,7042.757637,0,1,140,1.08
98004,2,17,4,13484.92721,13888.22484,1,147,1.26
98005,1,67,3,68033.17783,71302.98416,1,143,1.7
98006,1,36,4,30774.76501,38151.20387,2,140,NA
98007,1,31,4,30743.44908,33153.68568,1,141,4.47
98008,2,80,3,36226.67308,37266.21681,1,142,4.88
98009,1,57,3,42613.25536,44358.71808,2,143,1.4
98010,2,27,6,12587.87574,12856.71537,1,138,1.5
98011,1,3,4,9162.92384,9311.263657,1,145,0.74
98012,1,13,6,7549.142331,7492.260384,2,142,NA
98013,2,4,1,15892.1043,17299.75254,1,147,0.81
98014,2,59,3,230744.2013,222099.0954,1,148,5
